intersect,genes
Cg25,ENSG00000004059
Cg25,ENSG00000177200
Cg25,ENSG00000275048
Cg25,ENSG00000139675
Cg25,ENSG00000165288
Cg25,ENSG00000099917
Cg25,ENSG00000203780
Cg25,ENSG00000179855
Cg25,ENSG00000167103
Cg25,ENSG00000071553
Cg25,ENSG00000144674
Cg25,ENSG00000215867
Cg25,ENSG00000119397
Cg25,ENSG00000228300
Cg25,ENSG00000157873
Cg25,ENSG00000189127
Cg25,ENSG00000187481
Cg25,ENSG00000187416
Cg25,ENSG00000165113
Cg25,ENSG00000168539
Cg25,ENSG00000130479
Cg25,ENSG00000160813
Cg25,ENSG00000167861
Cg25,ENSG00000138777
Cg25,ENSG00000172794
Cg25,ENSG00000137942
Cg25,ENSG00000203855
Cg25,ENSG00000167733
Cg25,ENSG00000106683
Cg25,ENSG00000151466
Cg25,ENSG00000170374
Cg25,ENSG00000220563
Cg25,ENSG00000186577
Cg25,ENSG00000179611
Cg25,ENSG00000236565
Cg25,ENSG00000123643
Cg25,ENSG00000198887
Cg25,ENSG00000171944
Cg25,ENSG00000076662
Cg25,ENSG00000135090
Cg25,ENSG00000152208
Cg25,ENSG00000147604
Cg25,ENSG00000141854
Cg25,ENSG00000182247
Cg25,ENSG00000198856
Cg25,ENSG00000163939
Cg25,ENSG00000129534
Cg25,ENSG00000170222
Cg25,ENSG00000142669
Cg25,ENSG00000269955
Cg25,ENSG00000109917
Cg25,ENSG00000238118
Cg25,ENSG00000243746
Cg25,ENSG00000215812
Cg25,ENSG00000242683
Cg25,ENSG00000167977
Cg25,ENSG00000183826
Cg25,ENSG00000151657
Cg25,ENSG00000206418
Cg25,ENSG00000284631
Cg25,ENSG00000257108
Cg25,ENSG00000069764
Cg25,ENSG00000172969
Cg25,ENSG00000070961
Cg25,ENSG00000213047
Cg25,ENSG00000109971
Cg25,ENSG00000205609
Cg25,ENSG00000074317
Cg25,ENSG00000196498
Cg25,ENSG00000164483
Cg25,ENSG00000172809
Cg25,ENSG00000084207
Cg25,ENSG00000153207
Cg25,ENSG00000130204
Cg25,ENSG00000114062
Cg25,ENSG00000184863
Cg25,ENSG00000135686
Cg25,ENSG00000137207
Cg25,ENSG00000139620
Cg25,ENSG00000110324
Cg25,ENSG00000270011
Cg25,ENSG00000184432
Cg25,ENSG00000139200
Cg25,ENSG00000101199
Cg25,ENSG00000145826
Cg25,ENSG00000206140
Cg25,ENSG00000112078
Cg25,ENSG00000240038
Cg25,ENSG00000072756
Cg25,ENSG00000163596
Cg25,ENSG00000071082
Cg25,ENSG00000109475
Cg25,ENSG00000179889
Cg25,ENSG00000113456
Cg25,ENSG00000242173
