intersect,genes
OFC_female,ENSG00000134313
OFC_female,ENSG00000166979
OFC_female,ENSG00000001617
OFC_female,ENSG00000030110
OFC_female,ENSG00000261740
OFC_female,ENSG00000166845
OFC_female,ENSG00000119147
OFC_female,ENSG00000227835
OFC_female,ENSG00000091972
OFC_female,ENSG00000164919
OFC_female,ENSG00000144655
OFC_female,ENSG00000172889
OFC_female,ENSG00000137133
OFC_female,ENSG00000100209
OFC_female,ENSG00000269335
OFC_female,ENSG00000161677
OFC_female,ENSG00000128052
OFC_female,ENSG00000171444
OFC_female,ENSG00000119227
OFC_female,ENSG00000104886
OFC_female,ENSG00000184924
OFC_female,ENSG00000182872
OFC_female,ENSG00000114204
OFC_female,ENSG00000107819
OFC_female,ENSG00000215347
OFC_female,ENSG00000139656
OFC_female,ENSG00000118707
OFC_female,ENSG00000154096
OFC_female,ENSG00000153802
OFC_female,ENSG00000162191
OFC_female,ENSG00000164405
OFC_female,ENSG00000095397
OFC_female,ENSG00000126215
OFC_female,ENSG00000205189
Sub_female,ENSG00000262583
Sub_female,ENSG00000284283
Sub_female,ENSG00000182168
Sub_female,ENSG00000183185
Sub_female,ENSG00000170956
Sub_female,ENSG00000130522
Sub_female,ENSG00000254430
Sub_female,ENSG00000268598
Sub_female,ENSG00000233609
Sub_female,ENSG00000099331
Sub_female,ENSG00000196072
Sub_female,ENSG00000067048
Sub_female,ENSG00000103569
Sub_female,ENSG00000174576
Sub_female,ENSG00000205581
Sub_female,ENSG00000115457
Sub_female,ENSG00000187147
Sub_female,ENSG00000099625
Sub_female,ENSG00000178585
Sub_female,ENSG00000101974
Sub_female,ENSG00000103126
Sub_female,ENSG00000146540
Sub_female,ENSG00000167130
Sub_female,ENSG00000124205
Sub_female,ENSG00000164404
Sub_female,ENSG00000176476
Sub_female,ENSG00000172716
aINS_female,ENSG00000163872
aINS_female,ENSG00000132424
aINS_female,ENSG00000249055
aINS_female,ENSG00000258780
aINS_female,ENSG00000237257
aINS_female,ENSG00000180901
aINS_female,ENSG00000205129
aINS_female,ENSG00000099960
aINS_female,ENSG00000100350
aINS_female,ENSG00000108387
aINS_female,ENSG00000165675
aINS_female,ENSG00000077684
aINS_female,ENSG00000140939
aINS_female,ENSG00000165458
aINS_female,ENSG00000079432
aINS_female,ENSG00000027075
aINS_female,ENSG00000020181
aINS_female,ENSG00000184110
aINS_female,ENSG00000180537
aINS_female,ENSG00000100473
aINS_female,ENSG00000167371
aINS_female,ENSG00000100351
aINS_female,ENSG00000125409
aINS_female,ENSG00000127980
aINS_female,ENSG00000253304
aINS_female,ENSG00000170579
aINS_female,ENSG00000139517
aINS_female,ENSG00000286140
aINS_female,ENSG00000078269
aINS_female,ENSG00000147509
aINS_female,ENSG00000088727
aINS_female,ENSG00000224916
aINS_female,ENSG00000161921
aINS_female,ENSG00000251192
aINS_female,ENSG00000107789
aINS_female,ENSG00000165804
aINS_female,ENSG00000162599
aINS_female,ENSG00000280670
aINS_female,ENSG00000104894
aINS_female,ENSG00000163793
aINS_female,ENSG00000051620
aINS_female,ENSG00000206053
aINS_female,ENSG00000242114
aINS_female,ENSG00000243678
aINS_female,ENSG00000188599
aINS_female,ENSG00000007062
aINS_female,ENSG00000068354
aINS_female,ENSG00000167619
aINS_female,ENSG00000185262
