intersect,genes
female,ENSG00000243943
female,ENSG00000172456
female,ENSG00000136270
female,ENSG00000180776
female,ENSG00000106615
female,ENSG00000155980
female,ENSG00000104904
female,ENSG00000116288
female,ENSG00000277053
female,ENSG00000168291
female,ENSG00000104133
female,ENSG00000198855
female,ENSG00000049540
female,ENSG00000099203
female,ENSG00000111011
female,ENSG00000153253
female,ENSG00000149972
female,ENSG00000117118
female,ENSG00000109846
female,ENSG00000173812
female,ENSG00000111057
female,ENSG00000136943
female,ENSG00000073921
female,ENSG00000100280
female,ENSG00000164535
female,ENSG00000102316
female,ENSG00000182552
female,ENSG00000135404
female,ENSG00000177628
female,ENSG00000229415
female,ENSG00000112701
female,ENSG00000140990
female,ENSG00000275111
female,ENSG00000163001
female,ENSG00000170142
female,ENSG00000106028
female,ENSG00000154114
female,ENSG00000225663
female,ENSG00000239713
female,ENSG00000140350
female,ENSG00000197894
female,ENSG00000197043
female,ENSG00000092841
female,ENSG00000243989
female,ENSG00000139168
female,ENSG00000269858
female,ENSG00000147724
female,ENSG00000091138
female,ENSG00000127445
female,ENSG00000146067
female,ENSG00000148110
female,ENSG00000008988
female,ENSG00000167302
female,ENSG00000161970
female,ENSG00000205707
female,ENSG00000180198
female,ENSG00000054523
female,ENSG00000065154
female,ENSG00000104408
female,ENSG00000164970
female,ENSG00000125124
female,ENSG00000204962
female,ENSG00000171680
female,ENSG00000128591
female,ENSG00000180747
female,ENSG00000110321
female,ENSG00000197579
female,ENSG00000185917
female,ENSG00000168522
female,ENSG00000196678
female,ENSG00000241468
female,ENSG00000171988
female,ENSG00000108599
female,ENSG00000242485
female,ENSG00000197265
female,ENSG00000139531
female,ENSG00000143575
female,ENSG00000155111
female,ENSG00000148950
female,ENSG00000184343
female,ENSG00000159461
female,ENSG00000205423
female,ENSG00000135049
female,ENSG00000129946
female,ENSG00000138459
female,ENSG00000219200
female,ENSG00000111832
female,ENSG00000183576
female,ENSG00000115827
female,ENSG00000101843
female,ENSG00000158428
female,ENSG00000105866
female,ENSG00000198561
female,ENSG00000179593
female,ENSG00000125818
female,ENSG00000145888
female,ENSG00000173402
female,ENSG00000197050
female,ENSG00000106302
female,ENSG00000131778
female,ENSG00000127184
female,ENSG00000230359
female,ENSG00000242247
female,ENSG00000196166
female,ENSG00000171551
female,ENSG00000100380
female,ENSG00000127838
female,ENSG00000005700
female,ENSG00000165269
