node_id	alias	shape	size	color	x	y	weight
221	TUBG2	ELLIPSE	20.0	#ffcccc	1.45	-499.79	0.0
222	TOPORS	ELLIPSE	20.0	#ffcccc	126.35	-531.26	0.0
223	BLOC1S2	ELLIPSE	20.0	#ffcccc	18.76	-618.87	0.0
224	KIFC1	ELLIPSE	20.0	#ffcccc	192.42	-325.97	0.0
225	NME7	ELLIPSE	20.0	#ffcccc	-246.25	-467.49	0.0
226	CIAO3	ELLIPSE	20.0	#ffcccc	1823.11	-100.05	0.0
227	CIAO2A	ELLIPSE	20.0	#ffcccc	1765.2	-180.64	0.0
228	MLLT6	ELLIPSE	20.0	#ffcccc	479.78	344.95	0.0
229	ZC3H4	ELLIPSE	20.0	#ffcccc	-391.98	-621.77	0.0
230	CLP1	ELLIPSE	20.0	#ffcccc	-407.44	-223.42	0.0
231	DFFA	ELLIPSE	20.0	#ffcccc	-275.99	-345.67	0.0
232	MYSM1	ELLIPSE	20.0	#ffcccc	-320.65	481.01	0.0
233	MPND	ELLIPSE	20.0	#ffcccc	-341.39	377.47	0.0
234	CCT8	ELLIPSE	20.0	#ffcccc	-296.71	48.13	0.0
235	EIF6	ELLIPSE	20.0	#ffcccc	-458.53	35.41	0.0
236	EIF4A1	ELLIPSE	20.0	#ffcccc	-375.12	18.21	0.0
237	FUS	ELLIPSE	20.0	#ffcccc	-551.96	74.89	0.0
238	LARP1	ELLIPSE	20.0	#ffcccc	-400.03	-41.46	0.0
239	ARID1A	ELLIPSE	20.0	#ffcccc	-347.87	445.27	0.0
240	DHX30	ELLIPSE	20.0	#ffcccc	-745.29	-205.83	0.0
241	HNRNPA1L2	ELLIPSE	20.0	#ffcccc	-623.66	-198.44	0.0
242	RXRA	ELLIPSE	20.0	#ffcccc	-507.58	566.14	0.0
243	SAFB	ELLIPSE	20.0	#ffcccc	-427.19	-71.5	0.0
244	SMARCA4	ELLIPSE	20.0	#ffcccc	-400.24	362.53	0.0
245	IARS2	ELLIPSE	20.0	#ffcccc	-1141.02	-166.69	0.0
246	H3-3A	ELLIPSE	20.0	#ffcccc	-735.16	544.72	0.0
247	FBXL19	ELLIPSE	20.0	#ffcccc	-634.27	600.78	0.0
248	SUV39H1	ELLIPSE	20.0	#ffcccc	-676.86	560.85	0.0
249	TONSL	ELLIPSE	20.0	#ffcccc	-957.03	602.71	0.0
250	SGF29	ELLIPSE	20.0	#ffcccc	-757.03	314.2	0.0
251	ING1	ELLIPSE	20.0	#ffcccc	-1013.98	836.37	0.0
252	UBN1	ELLIPSE	20.0	#ffcccc	-1032.93	777.54	0.0
253	SETDB1	ELLIPSE	20.0	#ffcccc	-836.41	678.34	0.0
254	H2BC8	ELLIPSE	20.0	#ffcccc	-505.25	453.05	0.0
255	CARM1	ELLIPSE	20.0	#ffcccc	-492.36	683.14	0.0
256	H2AC8	ELLIPSE	20.0	#ffcccc	-757.85	407.74	0.0
257	BRD8	ELLIPSE	20.0	#ffcccc	-673.88	510.15	0.0
258	TP63	ELLIPSE	20.0	#ffcccc	-458.37	629.39	0.0
259	DERPC	ELLIPSE	20.0	#ffcccc	376.13	-114.16	0.0
260	WRAP53	ELLIPSE	20.0	#ffcccc	-10.93	-55.45	0.0
261	PPP6R3	ELLIPSE	20.0	#ffcccc	243.03	-113.82	0.0
262	BTG1	ELLIPSE	20.0	#ffcccc	-65.56	1185.9	0.0
263	CCNJ	ELLIPSE	20.0	#ffcccc	104.07	-20.34	0.0
264	DNMT1	ELLIPSE	20.0	#ffcccc	-511.48	406.84	0.0
265	PRKDC	ELLIPSE	20.0	#ffcccc	-317.8	281.59	0.0
266	CNPPD1	ELLIPSE	20.0	#ffcccc	142.95	67.76	0.0
267	STIL	ELLIPSE	20.0	#ffcccc	103.96	-95.77	0.0
268	CDK17	ELLIPSE	20.0	#ffcccc	155.37	1.04	0.0
269	UBE2E1	ELLIPSE	20.0	#ffcccc	-125.97	268.57	0.0
270	RCC1	ELLIPSE	20.0	#ffcccc	-725.29	277.94	0.0
271	CENPU	ELLIPSE	20.0	#ffcccc	11.99	-9.35	0.0
272	SKA3	ELLIPSE	20.0	#ffcccc	166.26	-112.29	0.0
273	CEP55	ELLIPSE	20.0	#ffcccc	27.84	-209.66	0.0
274	LIN9	ELLIPSE	20.0	#ffcccc	92.58	30.63	0.0
275	CCNE1	ELLIPSE	20.0	#ffcccc	-88.23	162.77	0.0
276	TOP2A	ELLIPSE	20.0	#ffcccc	-20.22	79.7	0.0
277	ARHGAP9	ELLIPSE	20.0	#ffcccc	986.04	514.46	0.0
278	CD247	ELLIPSE	20.0	#ffcccc	517.11	550.45	0.0
279	OASL	ELLIPSE	20.0	#ffcccc	-395.62	268.8	0.0
280	IFITM1	ELLIPSE	20.0	#ffcccc	-141.52	552.5	0.0
281	LMO2	ELLIPSE	20.0	#ffcccc	-327.4	-206.84	0.0
282	MAPRE2	ELLIPSE	20.0	#ffcccc	-97.57	-182.51	0.0
283	HTRA2	ELLIPSE	20.0	#ffcccc	464.37	641.46	0.0
284	TRAF3	ELLIPSE	20.0	#ffcccc	176.98	517.41	0.0
285	COG3	ELLIPSE	20.0	#ffcccc	713.09	65.31	0.0
286	COPZ1	ELLIPSE	20.0	#ffcccc	1046.86	25.22	0.0
287	TBRG4	ELLIPSE	20.0	#ffcccc	-996.07	-488.98	0.0
288	MARCHF7	ELLIPSE	20.0	#ffcccc	-685.86	-788.31	0.0
289	PCNP	ELLIPSE	20.0	#ffcccc	-608.31	-461.39	0.0
290	BLK	ELLIPSE	20.0	#ffcccc	-235.97	1046.38	0.0
291	EFNA5	ELLIPSE	20.0	#ffcccc	-152.69	952.11	0.0
292	RASA1	ELLIPSE	20.0	#ffcccc	-262.76	872.48	0.0
293	DERL1	ELLIPSE	20.0	#ffcccc	-112.47	330.97	0.0
294	UBXN1	ELLIPSE	20.0	#ffcccc	-91.52	216.89	0.0
295	RNF139	ELLIPSE	20.0	#ffcccc	-114.52	471.47	0.0
296	NGLY1	ELLIPSE	20.0	#ffcccc	21.66	360.87	0.0
297	HINT2	ELLIPSE	20.0	#ffcccc	-961.49	0.01	0.0
298	RIPK1	ELLIPSE	20.0	#ffcccc	-24.0	467.83	0.0
299	MAP4K2	ELLIPSE	20.0	#ffcccc	267.76	654.0	0.0
300	UBE2V1	ELLIPSE	20.0	#ffcccc	-45.92	395.21	0.0
301	IKBKG	ELLIPSE	20.0	#ffcccc	-46.96	532.37	0.0
302	CHRNA1	ELLIPSE	20.0	#ffcccc	221.97	-992.49	0.0
303	CHRM1	ELLIPSE	20.0	#ffcccc	278.94	-837.28	0.0
304	CACNG8	ELLIPSE	20.0	#ffcccc	618.52	91.9	0.0
305	WNT8A	ELLIPSE	20.0	#ffcccc	-3.36	866.61	0.0
306	DVL1	ELLIPSE	20.0	#ffcccc	-131.39	750.81	0.0
307	PPP4R4	ELLIPSE	20.0	#ffcccc	347.78	935.66	0.0
308	USP22	ELLIPSE	20.0	#ffcccc	-565.76	386.87	0.0
309	SAP130	ELLIPSE	20.0	#ffcccc	-684.38	433.4	0.0
310	KCNAB1	ELLIPSE	20.0	#ffcccc	-813.1	291.93	0.0
311	KCNQ4	ELLIPSE	20.0	#ffcccc	-553.32	212.79	0.0
312	SCPEP1	ELLIPSE	20.0	#ffcccc	-1390.49	591.36	0.0
313	GAPVD1	ELLIPSE	20.0	#ffcccc	32.38	967.04	0.0
314	FBXO6	ELLIPSE	20.0	#ffcccc	-93.85	-92.97	0.0
315	GBA1	ELLIPSE	20.0	#ffcccc	-76.33	-44.98	0.0
316	FKBP9	ELLIPSE	20.0	#ffcccc	-148.39	-57.82	0.0
317	PCBP4	ELLIPSE	20.0	#ffcccc	109.04	726.43	0.0
318	DNAJC5G	ELLIPSE	20.0	#ffcccc	-1010.42	-677.28	0.0
319	ITGAE	ELLIPSE	20.0	#ffcccc	321.91	819.09	0.0
320	ITGA9	ELLIPSE	20.0	#ffcccc	426.91	791.68	0.0
321	MED15	ELLIPSE	20.0	#ffcccc	-795.46	573.36	0.0
322	ANGPTL4	ELLIPSE	20.0	#ffcccc	-667.9	760.63	0.0
323	UNK	ELLIPSE	20.0	#ffcccc	-213.97	438.57	0.0
324	ANP32B	ELLIPSE	20.0	#ffcccc	65.16	144.32	0.0
325	MYO9B	ELLIPSE	20.0	#ffcccc	463.84	489.29	0.0
326	AP2S1	ELLIPSE	20.0	#ffcccc	212.42	211.34	0.0
327	BAIAP2L2	ELLIPSE	20.0	#ffcccc	436.56	98.02	0.0
328	SGIP1	ELLIPSE	20.0	#ffcccc	476.04	158.37	0.0
329	AP1B1	ELLIPSE	20.0	#ffcccc	141.22	195.23	0.0
330	AP2A1	ELLIPSE	20.0	#ffcccc	265.41	177.42	0.0
331	WDR76	ELLIPSE	20.0	#ffcccc	-182.39	-426.84	0.0
332	GABARAP	ELLIPSE	20.0	#ffcccc	-678.67	951.22	0.0
333	PLCB4	ELLIPSE	20.0	#ffcccc	-145.62	1002.2	0.0
334	KIF1B	ELLIPSE	20.0	#ffcccc	366.26	-538.17	0.0
335	KIF3C	ELLIPSE	20.0	#ffcccc	450.41	-561.15	0.0
336	KIF5A	ELLIPSE	20.0	#ffcccc	482.89	-487.05	0.0
337	KLC2	ELLIPSE	20.0	#ffcccc	402.0	-471.99	0.0
338	IFT46	ELLIPSE	20.0	#ffcccc	432.98	-648.89	0.0
339	CPSF7	ELLIPSE	20.0	#ffcccc	-641.81	-308.07	0.0
340	SRSF5	ELLIPSE	20.0	#ffcccc	-462.99	-271.19	0.0
341	GAS8	ELLIPSE	20.0	#ffcccc	-862.58	1092.79	0.0
342	FLNC	ELLIPSE	20.0	#ffcccc	635.36	956.01	0.0
343	SRP9	ELLIPSE	20.0	#ffcccc	-497.63	58.11	0.0
344	ALDH8A1	ELLIPSE	20.0	#ffcccc	-624.41	1526.4	0.0
345	ANG	ELLIPSE	20.0	#ffcccc	-588.52	1307.57	0.0
346	ZCRB1	ELLIPSE	20.0	#ffcccc	-735.09	5.72	0.0
